timestamp,humidity in % (SHT31 - Humidity),air temperature in ºC (SHT31 - Temperature),barometric pressure in K Pa (MPL3115A2 - Barometric Pressure),battery in % (Battery SCK 1.1),light in Lux (BH1730FVC),noise in dBA (ICS43432 - Noise),cm in cm (VL6180),external air temperature in °C (DS18B20)
2018-11-03 09:02:58 UTC,40.82,24.44,101.97,-1,0,48.63,,22.94
2018-11-03 09:03:58 UTC,43.23,24.47,101.96,100,0,47.55,,23.06
2018-11-03 09:04:58 UTC,40.24,24.73,101.95,100,0,48.31,,23.19
2018-11-03 09:05:58 UTC,52.98,24.81,101.97,100,0,47.99,,23.25
2018-11-03 12:33:21 UTC,46.56,25.59,101.98,-1,40.4,74.21,,24.69
2018-11-03 12:34:21 UTC,48.34,25.59,101.99,-1,14.96,56.68,,24.69
2018-11-03 12:35:21 UTC,46.03,27.38,101.98,-1,14.96,75.8,,24.69
2018-11-03 12:36:21 UTC,43.16,26.94,101.97,-1,23.46,63.83,,24.69
2018-11-03 12:37:21 UTC,48.35,26.74,101.97,-1,17,71.62,,24.75
2018-11-03 12:38:21 UTC,44.67,26.54,101.97,-1,16.94,67.74,,24.69
2018-11-03 12:39:21 UTC,43.56,26.42,101.97,-1,23.97,60.84,,24.69
2018-11-03 12:40:21 UTC,42.26,26.38,101.97,-1,32.98,60.67,,24.69
2018-11-03 12:41:21 UTC,42.74,26.1,101.98,-1,25.95,61.29,,24.69
2018-11-03 12:43:21 UTC,45.7,25.79,101.98,-1,19.44,58.21,,24.69
2018-11-03 12:44:21 UTC,44.15,25.81,101.98,-1,18.47,64.06,,24.69
2018-11-03 12:45:21 UTC,44.71,25.83,101.98,-1,19.95,62.49,,24.69
2018-11-03 12:46:21 UTC,43.56,25.83,101.97,-1,20.46,63.84,,24.69
2018-11-03 12:47:21 UTC,43.52,25.79,101.98,-1,3.51,60.86,,24.69
2018-11-03 12:48:21 UTC,43.32,25.64,101.98,-1,4.03,56.7,,24.69
2018-11-03 12:49:21 UTC,43.15,25.59,101.98,-1,4.03,59.34,,24.69
2018-11-03 12:51:21 UTC,43.48,25.42,101.97,-1,3.51,58.77,,24.69
2018-11-03 12:52:21 UTC,43.36,25.34,101.97,-1,3.51,60.94,,24.69
2018-11-03 12:53:21 UTC,43.45,25.29,101.97,-1,4.03,59.37,,24.69
2018-11-03 12:54:21 UTC,43.38,25.25,101.97,-1,3.51,62.98,,24.69
2018-11-03 12:55:21 UTC,43.61,25.18,101.97,-1,33.7,57.86,,24.69
2018-11-03 12:56:21 UTC,43.66,25.17,101.96,-1,38.87,60.43,,24.69
2018-11-03 12:57:21 UTC,43.56,25.14,101.96,-1,2.49,56.75,,24.62
2018-11-03 12:58:21 UTC,43.58,25.11,101.96,-1,2.49,60.17,,24.69
2018-11-03 12:59:21 UTC,43.6,25.08,101.96,-1,3.06,59.45,,24.62
