timestamp,humidity in % (SHT31 - Humidity),air temperature in ºC (SHT31 - Temperature),barometric pressure in K Pa (MPL3115A2 - Barometric Pressure),battery in % (Battery SCK 1.1),light in Lux (BH1730FVC),noise in dBA (ICS43432 - Noise),cm in cm (VL6180),external air temperature in °C (DS18B20)
2018-11-03 09:07:30 UTC,41.63,24.36,102.01,100,0,50,,23.5
2018-11-03 09:08:30 UTC,40.98,24.4,102.02,100,0,58.74,,23.5
2018-11-03 09:09:30 UTC,41.4,24.43,102.02,100,44.1,46.13,,23.5
2018-11-03 12:43:51 UTC,53.23,24.92,102.03,0,21.99,70.53,,24.88
2018-11-03 12:44:51 UTC,45.69,25.07,102.03,-1,18.92,66.75,,24.88
2018-11-03 12:45:51 UTC,45.56,25.26,102.02,-1,19.95,60.13,,24.88
2018-11-03 12:46:51 UTC,44.79,25.33,102.02,-1,29.92,62.09,,24.88
2018-11-03 12:47:51 UTC,44.38,25.36,102.02,-1,3.51,58.8,,24.94
2018-11-03 12:48:51 UTC,44.05,25.28,102.03,-1,4.03,62.21,,24.94
2018-11-03 12:49:51 UTC,43.97,25.28,102.02,-1,3.51,60.19,,24.88
2018-11-03 12:50:51 UTC,43.97,25.29,102.03,-1,3.51,59.95,,24.94
2018-11-03 12:52:51 UTC,43.89,25.29,102.02,-1,3.51,59.41,,24.88
2018-11-03 12:53:51 UTC,43.89,25.29,102.03,-1,3.51,60.76,,24.94
2018-11-03 12:54:51 UTC,43.79,25.26,102.02,-1,17.21,59.26,,24.94
2018-11-03 12:55:51 UTC,43.82,25.26,102.02,-1,32.86,62.51,,24.88
2018-11-03 12:56:51 UTC,43.6,25.25,102.02,-1,3.58,57.4,,24.88
2018-11-03 12:57:51 UTC,43.67,25.21,102.03,-1,3.06,60.85,,24.94
2018-11-03 12:58:51 UTC,43.71,25.21,102.03,-1,3.06,61.83,,24.94
2018-11-03 12:59:51 UTC,43.74,25.19,102.03,-1,3.58,61.33,,24.88
2018-11-03 13:01:51 UTC,43.56,25.21,102.02,-1,3.58,59.38,,24.88
2018-11-03 13:02:51 UTC,43.57,25.18,102.02,-1,3.06,61.01,,24.88
2018-11-03 13:03:51 UTC,43.45,25.17,102.03,-1,3.06,60.25,,24.88
2018-11-03 13:04:51 UTC,43.29,25.14,102.02,-1,3.58,61.36,,24.88
2018-11-03 13:05:51 UTC,43.5,25.14,102.03,-1,2.49,61.9,,24.88
2018-11-03 13:06:51 UTC,43.51,25.12,102.03,-1,3.06,60.55,,24.88
2018-11-03 13:07:51 UTC,43.52,25.14,102.03,-1,3.06,61.71,,24.88
2018-11-03 13:08:51 UTC,43.27,25.12,102.03,-1,2.49,58.95,,24.88
2018-11-03 13:09:51 UTC,43.17,25.09,102.03,-1,3.58,59.5,,24.88
2018-11-03 13:11:51 UTC,43.44,25.11,102.03,-1,3.58,61.42,,24.81
2018-11-03 13:12:51 UTC,43.23,25.08,102.02,-1,3.58,60.54,,24.81
2018-11-03 13:13:51 UTC,43.33,25.05,102.02,-1,3.58,59.36,,24.88
2018-11-03 13:14:51 UTC,43.32,25.07,102.02,-1,1.98,60.39,,24.81
2018-11-03 13:15:51 UTC,43.27,25.05,102.02,-1,3.06,63.01,,24.81
2018-11-03 13:16:51 UTC,43.29,25.04,102.02,-1,3.58,58.26,,24.81
2018-11-03 13:17:51 UTC,43.32,25.02,102.02,-1,3.58,61.9,,24.81
2018-11-03 13:18:51 UTC,43.17,25.02,102.01,-1,3.58,59.59,,24.81
2018-11-03 13:19:51 UTC,43.21,24.99,102.01,-1,3.06,61.38,,24.81
2018-11-03 13:21:51 UTC,43.16,24.97,102.01,-1,2.49,59.11,,24.81
2018-11-03 13:22:51 UTC,43.15,24.98,102,-1,2.49,60.5,,24.81
2018-11-03 13:23:51 UTC,43.16,24.99,102,-1,3.06,57.67,,24.81
2018-11-03 13:24:51 UTC,43.02,24.98,102,-1,2.49,63.66,,24.75
2018-11-03 13:25:51 UTC,42.96,24.95,102,-1,2.49,60.79,,24.81
2018-11-03 13:26:51 UTC,42.91,24.95,102,-1,3.58,59.05,,24.81
2018-11-03 13:27:51 UTC,43.08,24.98,102,-1,3.58,59.9,,24.75
2018-11-03 13:29:51 UTC,42.86,24.95,102,-1,2.49,61.11,,24.75
2018-11-03 13:30:51 UTC,43,24.94,102,-1,2.49,57.93,,24.75
2018-11-03 13:31:51 UTC,43.01,24.94,102,-1,2.49,59.22,,24.75
2018-11-03 13:32:51 UTC,42.98,24.95,102,-1,3.06,57.71,,24.75
2018-11-03 13:33:51 UTC,43.02,24.92,102,-1,2.49,60.27,,24.75
